단어,뜻
soon,곧
carefully,주의하여
always,언제나
carry,나르다
young,어린
cash,현금
whenever,언제든지
ever,항상
originally,원래
meanwhile,그 동안에
catch,잡다
category,범주
during,~동안
then,그 다음에
cell,셀
initially,처음에
central,본부
century,세기
now,지금
certain,확실한
chair,의자
nowadays,요즘에는
challenge,도전
regularly,정기적으로
fascinate,호리다
moderate,보통의
chance,가능성
out,밖으로
chapter,장
character,성격
charge,요금
tail,꼬리
storm,폭풍
bread,빵
belt,벨트
truly,진심으로
cheap,값이 싼
check,확인하다
liquid,액체
framework,뼈대
firstly,첫째로
aggressive,공격적인
chief,셰프
equivalent,동등한
mature,성숙한
smart,똑똑한
choice,선택
choose,선택하다
prompt,즉각적인
circumstance,상황
keen,날카로운
citizen,시민
native,토종의
eastern,동쪽
claim,주장하다
in,~에
no,아니요
contemporary,현대의
clean,깨끗한
poverty,빈곤
clearly,분명히
genuine,진실한
climb,오르다
record,기록
clock,시계
vast,대단한
idea,아이디어
of,~의
club,클럽
coach,코치
historic,역사적인
extraordinary,기이한
corporation,법인
code,암호
coffee,커피
large,크기가 큰
cold,추운
hand,손
collect,모으다
collection,수집
college,대학
fiction,소설
combine,결합하다
album,앨범
mystery,신비
comfortable,편안한
commercial,광고
commit,저지르다
committee,위원회
common,흔한
uncle,삼촌
communication,의사소통
community,지역 사회
house,집
compare,비교하다
comparison,비교
office,사무실
school,학교
competition,경쟁
publisher,발행자
personally,몸소
complete,완벽한
completely,완전히
complex,복잡한
via,~을 통해
widely,넓게
beside,옆에
flexible,유연한
observation,관찰
pleasant,즐거운
controversial,논란이 많은
fortune,행운
effect,효과
computer,컴퓨터
infant,유아
concept,개념
random,무작위의
concert,콘서트
conclude,끝내다
conclusion,결론
distinct,별개의
conduct,지휘하다
confidence,신뢰
coat,코트
confirm,확인하다
conflict,갈등
money,돈
information,정보
connect,연결하다
connection,연결
consequence,결과
gray,회색
yellow,노란색
carpet,양탄자
first,첫 번째
consideration,고려 사항
consist,이루어져 있다
western,서부 사람
airline,공기 호스
absolute,순수한
whole,전체
altogether,전부
construction,건설
exact,정확한
all,모두
literary,문호
consumer,소비자
contact,연락하다
contain,포함하다
urban,도시의
royal,감청색
context,문맥
institutional,기관
presumably,아마도
contrast,차이
contribution,기부금
agricultural,농업
organic,본질적인
political,정치적인
classical,고전
conversation,대화
sexual,성적
convince,확신시키다
cook,요리하다
cool,시원한
public,공공의
abstract,추상적인
copy,복사
corporate,기업
retail,소매
correct,옳은
inner,안의
mental,정신적인
genetic,유전적인
online,온라인
council,이사회
ethnic,민족
count,세다
tank,탱크
inflation,인플레이션
temporary,일시적인
couple,커플
court,법원
dialog,대화
cover,씌우다
accurate,정확한
free,무료
policy,정책
envelope,봉투
roof,지붕
wet,젖은
bloody,피의
offense,위반
festival,제전
credit,신용 거래
hook,훅
crisis,위기
critical,비판적인
destruction,파괴
coal,석탄
cross,십자가
crowd,군중
pot,냄비
cry,울다
culture,문화
cup,컵
profile,윤곽
current,현재의
currently,현재
reliable,믿을 수 있는
architecture,건축학
customer,고객
cut,자르다
cycle,주기
although,하지만
daily,일일
damage,손상
explanation,설명
dance,춤
danger,위험
dangerous,위험한
criteria,기준
dark,어두운
filter,필터
data,데이터
unusual,특이한
date,날짜
daughter,딸
hard,딱딱한
dead,죽은
pollution,오염
dear,~에게
death,죽음
debate,토론
decade 10,년
mess,엉망
decision,결정
depth,깊이
decline,감소
deep,깊은
height,키
phase,단계
defense,방어
injure,해치다
define,정의하다
definitely,분명히
definition,정의
degree,도
deliver,배달하다
delivery,배달
demand,수요
helpful,도움이 되는
universal,만능인
voluntary,자발적인
violent,폭력적인
deny,부인하다
department,부서
depend,의존하다
immediate,즉각적인
chart,차트
alcohol,술
fall,떨어지다
describe,설명하다
description,설명
while,~하는 동안
whilst ...,하는 동안
design,설계
sensitive,예민한
desk,책상
despite,~에도 불구하고
visible,보이는
detail,세부 사항
soft,부드러운
apparent,명백한
determine,결정하다
clear,분명한
potato,감자
device,장치
impression,인상
mood,분위기
die,주사위
electricity,전기
adequate,적절한
difference,차이점
enough,충분한
each,각
difficult,어려운
difficulty,어려움
everywhere,어디에나
test,시험
case,사례
dinner,저녁
direct,직접
directly,곧장
director,감독
good,좋은
stimulate,자극하다
numerous,많은
distant,먼
silver,은
veteran,재향 군인
consultant,컨설턴트
discover,발견하다
reason,이유
discuss,논의하다
discussion,논의
disease,질병
demonstration,데모
extension,확대
further,더 나아가
giant,거대한
display,표시하다
crucial,중대한
distance,거리
remote,원격
sheep,양
pig,돼지
dad,아빠
district,구역
anxiety,불안
motivation,동기 부여
divide,나누다
tension,긴장
joy,기쁨
document,문서
dog,개
dollar,달러
friendship,우정
door,문
double,더블
doubt,의심
hunger,굶주림
concern,우려
grateful,고마워하는
ashamed,부끄러운
confident,자신감
uncertainty,불확실성
draw,그리다
dream,꿈
dress,드레스
drink,마시다
sad,슬픈
driver,운전사
drop,떨어지다
drug,의약품
dry,마른
due,~로 인한
she,그녀
ultimately,궁극적으로
duty,의무
dust,먼지
solid,단단한
steady,꾸준한
earn,벌다
earth,지구
start,시작
easily,쉽게
term,용어
shelf,선반
easy,쉬운
eat,먹다
economic,간결한
edge,가장자리
conventional,전통적인
fruit,과일
boot,신병
education,교육
because,왜냐하면
forever,영원히
effective,효과적인
per,대
so,그래서
why,왜
effort,노력
egg,계란
sir,선생님
format,체재
election,선거
lucky,운이 좋은
hence,따라서
through,~을 통해
element,요소
across,가로질러
else,또 다른
since,~부터
e-mail,이메일
face,얼굴
tennis,테니스
emerge,알려지다
golf,골프
preparation,준비
present,현재의
sale,판매
down,아래에
employ,고용
employee,직원
into,~안으로
alright,괜찮은
empty,비어 있는
enable,~할 수 있게 하다
honest,솔직한
encourage,장려하다
sand,모래
more,더
energy,에너지
engage,관계를 맺다
tall,키가 큰
enjoy,즐기다
empire,제국
tune,곡조
ensure,보장하다
enter,입력하다
government,정부
jury,배심
personnel,인원
entire,전체
bunch,다발
pile,말뚝
type,유형
environment,환경
environmental,환경
sort,종류
equal,동일한
constantly,끊임없이
subsequent,후속
equipment,장비
constant,끊임없는
error,오류
especially,특히
briefly,간단히
essential,필수적인
establish,설립하다
still,아직
late,늦은
frequent,잦은
weekly,주간
evening,저녁
event,이벤트
eventually,결국
prior,이전의
sudden,갑자기
everybody,여러분
routine,루틴
everyone,모든 사람
everything,모든 것
early,일찍
evidence,증거
rapid,빠른
continuous,마디 없는
satisfaction,만족
exactly,정확히
shell,껍데기
bone,뼈
concrete,콘크리트
excellent,훌륭한
except,제외하고
tooth,이빨
important,중요한
exchange,교환
possible,가능한
brilliant,멋진
wealthy,풍부한
executive,경영진
exercise,운동
employment,고용
exist,존재하다
expand,확장하다
thick,두꺼운
sick,아픈
angry,화난
expensive,값비싼
nervous,불안한
experiment,실험
sharp,날카로운
expert,전문가
explain,설명하다
sufficient,충분한
export,내보내다
guilty,죄책감이 드는
old,오래된
express,표현하다
expression,표현
fortunate,운이 좋은
already,이미
extent,정도
awareness,의식
extra,추가의
weak,약한
sure,확신하는
extremely,극도로
possession,소유
variable,변하기 쉬운
facility,시설
creative,창의적인
factor,요인
factory,공장
independence,독립
fail,실패하다
failure,실패
fair,공정한
able,할 수 있는
regional,지역
psychological,심리적
mayor,시장
familiar,친숙한
tight,단단한
famous,유명한
fan,팬
upper,높은
top,맨 위
frequency,빈도
farm,농장
way,방법
fashion,패션
fast,빠른
enormous,막대한
father,아버지
people,사람들
favor,호의
favorite,가장 좋아하는
feature,특징
federal,연방
fee,요금
notion,개념
female,여성
hypothesis,가설
same,같은
whether,~이든
reflection,반사
field,필드
fight,싸움
next,다음
fill,채우다
film,영화
significance,중요성
final,결정적인
finally,마지막으로
finance,재원
financial,재정적인
issue,문제
fine,괜찮은
finger,손가락
finish,마치다
fire,불
firm,단단한
properly,제대로
reasonably,합리적으로
perfectly,아주
fish,물고기
fit,맞다
fix,고치다
stable,안정적인
well,잘
flat,평평한
firmly,단단히
flight,비행
successfully,성공적으로
floor,바닥
flow,흐름
fly,파리
focus,집중하다
hopefully,바라건대
gently,부드럽게
typically,일반적으로
dramatically,극적으로
faithfully,충실히
foot,발
football,축구
automatically,자동으로
literally,문자 그대로
foreign,외국의
forest,숲
significantly,상당히
forget,잊다
somehow,어떻게든
differently,다르게
effectively,효과적으로
furthermore,뿐만 아니라
former,이전의
also,또한
equally,같이
forward,앞으로
precisely,정확히
roughly,대충
rarely,드물게
surprisingly,놀랍게도
freedom,자유
wherever,대체 어디로
against,~에 맞서
southern,남부 지방 사투리
abroad,해외에서
fresh,신선한
overseas,해외
friendly,친숙한
elsewhere,다른 곳
northern,북부 사투리
front,앞쪽
partly,부분적으로
there,거기
among,~중에
full,가득한
fully,충분히
fun,재미있는
function,기능
primarily,주로
fund,축적
respectively,각기
funny,재미있는
at,~에
under,아래에
least,최소
between,~사이
how,어떻게
anywhere,어딘가에
garden,정원
gas,가스
every,모든
gather,모으다
grand,멋진
comprehensive,포괄적인
instruction,지침
database,데이터 베이스
general,일반적인
generate,생성하다
generation,세대
hint,힌트
proof,증거
interior,내부
sake,동기
remarkable,놀랄 만한
attraction,끌어 당김
gift,선물
girl,소녀
if,만약에
glad,기쁜
intervention,간섭
glass,유리
global,글로벌
social,사회의
goal,목표
theoretical,이론적인
gold,금
product,제품
furniture,가구
profession,직업
evaluation,평가
only,오직
maintenance,유지
spare,여분의
grade,등급
piano,피아노
gentle,온화한
experience,경험
wise,지혜로운
silly,바보 같은
grant,승인하다
stupid,멍청한
shore,지주
coast,해안
estate,사유지
big,큰
green,녹색
wealth,재산
ocean,대양
ground,지면
long,긴
cow,암소
growth,성장
guarantee,보장하다
guess,추측하다
guest,손님
guide,가이드
substantial,상당한
considerable,많은
guy,남자
hair,머리카락
extensive,광범위한
maximum,최고
handle,핸들
permanent,영구적인
after,~후에
happy,행복하다
discovery,발견
divorce,이혼
hardly,거의 ~ 아니다
power,힘
ownership,소유권
hate,싫어하다
secondary,반성
pale,창백한
comedy,코메디
health,건강
healthy,건강한
probably,아마
heart,마음
heat,열
medicine,약
heavy,무거운
menu,메뉴
catalog,목록
small,작은
somewhat,약간
alive,살아 있는
around,약
knife,칼
herself,그녀 자신
nerve,신경 이상
tube,튜브
hide,숨다
valley,골짜기
highly,고도로
rail,레일
himself,그 자신
mortgage,저당
tender,부드러운
minimum,최저한의
printer,인쇄기
hit,때리다
golden,황금
wooden,멍청한
hole,구멍
holiday,휴일
prime,초기
implementation,구현
loud,시끄러운
quietly,조용히
reduction,절감
attractive,매력적인
person,사람
horse,말
hospital,병원
hot,더운
multiple,다수의
often,자주
fuel,연료
huge,거대한
human,인간
capability,능력
dimension,차원
surgery,수술
husband,남편
letter,편지
salary,샐러리
compensation,보상
identify,식별하다
deposit,보증금
ignore,무시하다
evil,사악한
increasingly,더욱 더
several,여러 개의
mom,엄마
grandmother,할머니
up,위로
immediately,즉시
to,에게
promotion,홍보
very,매우
strict,엄격한
salt,소금
together,함께
importance,중요성
by,~에 의해
impossible,불가능한
most,최대
vital,필수적인
thirst,갈증
improve,개선하다
improvement,개선
innovation,혁신
close,닫다
anymore,더 이상
silence,고요
illegal,불법적인
nothing,아무것도 아님
unable,할 수 없는
indeed,물론
unlikely,~할 것 같지 않은
independent,독립적인
crazy,미친
within,이내에
individual,개인
industry,산업
dirty,더러운
open,열려 있는
rare,희귀한
influence,영향
inform,알리다
never,절대
initial,초기의
unknown,알려지지 않은
nearby,가까운
bad,나쁜
little,작은
innocent,순결한
light,빛
away,떨어져 있는
low,낮은
inside,내부에
badly,심하게
nowhere,어디에도
confusion,착란
instance,사례
instead,대신에
institution,기관
lazy,게으른
few,약간의
insurance,보험
pure,순수한
different,다른
new,새로운
intend,의도하다
fancy,팬시한
FALSE,거짓
rough,거친
minor,미성년자
internal,내부
international,국제적인
silent,조용한
ordinary,평범한
thin,얇은
interview,회견
loose,헐렁한
introduce,소개하다
introduction,소개
occasionally,가끔
invest,투자하다
investigate,조사하다
investigation,조사
investment,투자
ill,아픈
invite,초대하다
one,하나
group,그룹
island,섬
density,밀도
age,나이
item,목
itself,그 자체
he,그
gradually,서서히
join,가입하다
monthly,월간 간행물
weird,기이한
about,~에 대한
democratic,민주주의
intellectual,지적인
judge,판사
judgment,심판
jump,도약
brown,갈색
qualification,자격
frequently,자주
fat,지방
right,오른쪽
today,오늘
key,열쇠
kid,어린이
kill,죽이다
a,에이
any,어느
kitchen,주방
another,또 다른
again,다시
ski,스키
knowledge,지식
labor,노동
planet,행성
lack,부족
land,땅
either,어느 하나
once,한 번
largely,크게
kind,친절한
laugh,웃다
almost,거의
launch,시작하다
law,법
lay,놓다
merely,그저
just,단지
liberal,많은
leader,지도자
leadership,지도
electronic,전자
folk,사람들
civilian,일반 민간인
charity,자선 단체
supplier,공급업체
establishment,설립
base,베이스
left,왼쪽
leg,다리
legal,합법적인
besides,게다가
forth,앞으로
length,길이
yard,마당
external,외부
panic,공황
portrait,초상화
pink,분홍색
library,도서관
lie,거짓말하다
lift,승강기
segment,분절
share,공유하다
likely,~할 것 같은
limit,한계
portion,부분
link,링크
wing,비행
list,목록
listen,듣다
mind,정신
neck,목
eye,눈
literature,문학
nose,코
tongue,혀
load,짐
module,기준 치수
location,위치
fragment,파편
emphasis,중요성
ideal,이상적인
week,주
gay,게이
immigrant,이민
loss,손실
hero,영웅
peer,또래
lovely,사랑스러운
employer,고용주
member,회원
substitute,대리자
you,너
lunch,점심
student,학생
machine,기계
athlete,운동 선수
magazine,잡지
champion,챔피언
main,기본
mainly,주로
maintain,유지하다
governor,지사
major,주요한
majority,다수
holder,보유자
specialist,전문가
male,남성
poet,시인
manage,관리하다
management,관리
manager,관리자
manner,방법
manufacture,제조
friend,친구
map,지도
maker,만드는 사람
mark,표시
this,이것
marriage,결혼
marry,결혼하다
personality,성격
match,성냥
parent,조상
material,재료
injury,부상
illustration,삽화
curtain,커튼
flag,깃발
skirt,치마
maybe,아마도
tissue,조직
gate,문
stomach,위
measure,측정하다
center,센터
jail,교도소
gallery,갱도
medical,의료
home,집
medium,중간
intention,의도
program,프로그램
grass,잔디
memory,메모리
musical,뮤지컬
mention,언급하다
opera,오페라
proud,자랑스러운
poetry,시
tent,텐트
message,메시지
approval,승인
implication,함축
method,방법
middle,가운데
vessel,선박
mile,마일
military,군대
passion,열정
mine,내 거
conservative,보수적인
minister,장관
cost,비용
matter,문제
formation,형성
publication,출판
mix,혼합
recovery,회복
interaction,상호 작용
market,시장
withdraw,철회하다
modern,현대의
penalty,패널티
justice,정당성
humor,기분
beauty,아름다움
monitor,감시 장치
charm,매력
darkness,어둠
stability,안정
weakness,약점
moreover,게다가
tendency,성향
scope,범위
mostly,주로
class,수업
resistance,저항
state,상태
pension,연금
job,직업
emotional,감정적인
mountain,산
mouth,입
academic,학생
movement,움직임
movie,영화
criminal,범인
scientific,과학적인
murder,살인
romantic,로맨틱
museum,박물관
clinical,객관적인
structural,구조적인
local,현지의
racial,인종
myself,내 자신
rural,시골의
educational,교육적인
fundamental,근본적인
nation,국가
national,국가의
presidential,대통령
natural,자연스러운
calm,침착한
nature,자연
near,가까운
inquiry,문의
nearly,거의
necessarily,필연적으로
necessary,필요한
honor,명예
permission,허가
high,높은
moon,달
guideline,지침
neighbor,이웃
grammar,문법
acceptable,허용 가능한
too,~도
network,회로망
complaint,불평
autumn,가을
news,소식
newspaper,신문
paragraph,절
nice,멋진
grain,곡물
period,기간
nobody,아무도
nor ...,도 아니다
normal,정상
normally,보통
north,북쪽
religion,종교
system,체계
apartment,아파트
mutual,상호간의
notice,알아채다
essay,수필
episode,삽화
novel,소설
alongside,함께
plain,솔직한
aunt,이모
nuclear,핵무기
mere,호수
town,도시
nurse,간호사
object,물체
objective,목적
pocket,포켓
stamp,우표
observe,관찰하다
obvious,분명한
obviously,확실히
bit,조금
stream,개울
occur,발생하다
cap,캡
less,더 적은
cheek,볼
snow,눈
answer,답변
officer,장교
official,공식적인
part,부분
oil,기름
okay,좋아요
prisoner,죄인
dealer,상인
designer,디자이너
pro,찬성
buyer,사는 사람
politician,정치가
slave,노예
operate,작동하다
operation,작업
shareholder,주주
opinion,의견
opportunity,기회
opposite,반대
listener,경청자
option,옵션
historian,역사가
ally,동맹국
operator,연산자
enemy,적
organization,조직
volunteer,자원 봉사자
mate,친구
otherwise,그렇지 않으면
ought,영
reporter,보고자
stranger,낯선 사람
supplement,보충
variation,변화
problem,문제
outside,밖의
other,다른
overall,전반적인
luxury,사치
achievement,성취
mixture,혼합물
impressive,인상적인
owner,소유자
time,시간
pack,팩
page,페이지
pain,통증
paint,페인트
exception,예외
hat,모자
paper,종이
classic,권위 있는
biological,생물학적
disaster,재해
park,공원
burden,부담
participate,참가하다
incentive,자극
particular,특정한
particularly,특히
smooth,매끄러운
partner,파트너
outcome,결과
pass,통과하다
composition,구성
priority,우선 사항
path,길
patient,인내심 있는
pattern,무늬
pause,정지시키다
fact,사실
payment,지불
peace,평화
preference,선호
compound,화합물
prize,상
constraint,강제
indication,표시
obligation,의무
visual,시각적
percent,퍼센트
percentage,백분율
perfect,완벽한
assumption,추정
perform,공연하다
performance,성능
perhaps,아마도
thing,물건
pen,펜
rather,꽤
personal,개인의
tone,음정
alarm,경보
music,음악
perspective,관점
representation,대표
celebration,축하
ceremony,의식
phone,핸드폰
photo,사진
gear,기어
physical,물리적
rate,비율
pick,선택하다
picture,그림
piece,조각
championship,선수권 대회
from,~에서
ease,쉬움
gender,성별
attendance,출석
existence,존재
comfort,편안
exposure,노출
plane,비행기
happiness,행복
plant,식물
complexity,복잡성
diversity,다양성
stair,계단
player,플레이어
tale,이야기
please,제발
pleasure,기쁨
plus ...,을 더한
side,옆
guitar,기타
attachment,부착
barrier,장벽
philosophy,철학
