abuse,남용하다/학대하다
occasion,경우/행사
odd,이상한/홀수의
plate,접시/판
snap,딱 소리내다/스냅 사진
onto,~위로
plot,줄거리/음모
oppose,반대하다
producer,제작자/생산자
organize,조직하다/준비하다
phenomenon,현상
original,원래의/독창적인
stay,머무르다/유지하다
package,패키지/소포
pair,쌍/짝
shadow,그림자
subject,주제/과목/피험자
singer,가수
such,그러한
statistic,통계/통계량
substance,물질/실체
summary,요약
permit,허가하다/허가증
protein,단백질
teenager,십대
photograph,사진
throat,목구멍
tourism,관광/관광업
plenty,풍부함/충분함
tower,탑
transition,전환/이행
population,인구
trap,덫/함정
practical,실용적인/실제적인
presence,존재/참석
president,대통령/회장
principal,주요한/교장
principle,원칙/원리
print,인쇄하다/출력하다
prison,감옥/교도소
turn,돌다/차례
professional,전문적인/전문가
property,재산/부동산/특성
vegetable,채소/야채
row,열/줄/노를 젓다
provision,제공/대비/식량
sheet,시트/종이 한 장
race,인종/경주
rank,계급/순위를 매기다
ready,준비된
recommendation,추천/권고
water,물
reflect,반사하다/반영하다
region,지역/지방
shirt,셔츠
relation,관계/관련
relax,휴식을 취하다/완화하다
release,풀어주다/발표하다
relevant,관련된/적절한
which,어느/어떤
rely,의지하다/신뢰하다
voter,유권자
represent,대표하다/나타내다
witness,목격자/증언하다
would,~할 것이다
ring,반지/울리다
write,쓰다
joint,공동의/관절
reserve,예약하다/비축
pupil,학생/눈동자
sample,견본/샘플
scientist,과학자
seat,좌석/자리
secret,비밀/비결
secretary,비서/장관
security,보안/안전
seriously,진지하게/심각하게
session,세션/기간
pitch,던지다/음조/경기장
second,초/두 번째
hour,시간
fault,잘못/결함
shoe,신발
shot,발사/주사
god,신/하나님
sight,시력/시야
sign,기호/신호/서명하다
signal,신호
muscle,근육
enterprise,기업/사업
site,장소/현장/사이트
skin,피부/가죽
company,회사/일행
slowly,느리게/천천히
smile,미소/미소 짓다
symptom,증상
revolution,혁명/회전
amendment,개정/수정
carbon,탄소
square,정사각형/광장
cousin,사촌
insight,통찰력
orange,주황색/오렌지
tournament,토너먼트/대회
bin,쓰레기통
stock,주식/재고
strongly,강하게/강력히
structure,구조/건축물
studio,스튜디오/작업실
style,스타일/방식
emotion,감정/정서
mother,어머니
succeed,성공하다/뒤를 잇다
slice,조각/썰다
disk,디스크/원반
resolution,결의안/해결/해상도
suspect,의심하다/용의자
switch,스위치/바꾸다
negotiation,협상/교섭
welfare,복지
taste,맛/취향
tear,눈물/찢다
technology,기술
family,가족
television,텔레비전
temperature,온도/기온
theory,이론
species,종
dozen,12개/다스
tie,묶다/넥타이/무승부
phrase,구/구절
tool,도구/연장
touch,만지다/촉각
gesture,몸짓/제스처
city,도시
tradition,전통
bell,종/벨
disorder,장애/무질서
troop,군대/무리
true,사실인/진짜의
chicken,닭/닭고기
union,노조/결합/조합
user,사용자
variety,다양성/품종
convention,관습/대회
victim,피해자/희생자
violence,폭력/격렬함
lot,많은/몫/부지
truck,트럭
wake,깨다/일어나다
mail,우편/메일
wear,입다/착용하다
weather,날씨
wed,결혼하다
west,서쪽
agenda,의제/안건
gaze,응시하다/시선
far,멀리/훨씬
counter,계산대/반대하다
passage,통로/구절
wood,나무/목재
heavily,무겁게/심하게
much,많은/많이
writer,작가/저자
aircraft,항공기
motor,모터/발동기
ability,능력
cloud,구름
leather,가죽
inch,인치
above,~위에
abortion,낙태
motion,운동/움직임
web,웹/거미줄
absolutely,절대적으로/완전히
minority,소수/소수 민족
mechanism,기계 장치/구조
accept,받아들이다/수락하다
edition,판/간행물
access,접근/이용
trail,오솔길/자취
circle,원/동그라미
accord,일치/협정
account,계좌/설명/계정
day,날/하루/낮
era,시대/연대
achieve,성취하다/달성하다
chairman,의장/회장
manufacturer,제조업자/제조사
acquire,얻다/습득하다
server,서버/종업원
pilot,조종사/파일럿
act,행동하다/행위
action,행동/조치
active,활동적인/적극적인
actor,배우
actual,실제의/사실상의
lover,연인/애호가
ad,광고
refugee,난민
addition,추가/덧셈
additional,추가의
address,주소/연설하다/해결하다
scholar,학자/장학생
researcher,연구원
terrorist,테러리스트
admit,인정하다/입장을 허락하다
adopt,입양하다/채택하다
adult,어른/성인
advance,전진/진보
advantage,이점/유리함
servant,하인/종
advertise,광고하다
advice,조언/충고
critic,비평가/평론가
rival,경쟁자/라이벌
affair,일/사건
affect,영향을 미치다
afford,~할 여유가 있다
afraid,두려워하는
advertisement,광고
afternoon,오후
log,통나무/일지
draft,초안/징병
drama,드라마/연극
agency,대리점/기관
laboratory,실험실
agent,대리인/요원
pub,술집/펍
shelter,피난처/보호소
agree,동의하다
agreement,합의/협정
resort,휴양지/의지하다
ahead,앞으로/앞에
aid,도움/지원
aim,목표/겨냥하다
air,공기/공중
end,끝/끝나다
elderly,노인들/나이 든
platform,플랫폼/단상
panel,패널/토론단
rose,장미/일어났다
chamber,방/실
restriction,제한/규제
storage,저장/창고
clause,절/조항
uniform,제복/유니폼/균일한
website,웹사이트
alone,혼자/홀로
dish,접시/요리
cooperation,협력/협동
cat,고양이
adjustment,조정/조절
seed,씨앗
cigarette,담배
alternative,대안/대체의
tip,팁/끝/조언
chip,칩/조각
coin,동전
amaze,놀라게 하다
gap,차이/격차/틈
magic,마법
amount,양/총계
analysis,분석
mission,임무/사명
area,지역/구역
premise,전제/부지
equation,방정식/등식
faith,믿음/신앙
animal,동물
announce,발표하다/알리다
castle,성
annual,연간의/매년의
bias,편견/편향
stake,말뚝/이해관계/지분
fool,바보/속이다
emergency,비상사태/응급
chocolate,초콜릿
democracy,민주주의
anybody,누구든지/아무도
column,기둥/칼럼
anyone,누구든지/아무도
professor,교수
anyway,어쨌든
apart,떨어져/따로
toy,장난감
it,그것
absence,결석/부재
apparently,듣자하니/보아하니
appeal,호소하다/매력
appear,나타나다/보이다
port,항구
appreciate,감사하다/진가를 알아보다
approach,접근하다/접근법
appropriate,적절한/알맞은
metal,금속
approve,승인하다/찬성하다
car,차/자동차
bike,자전거
plastic,플라스틱
argue,주장하다/다투다
virus,바이러스
arm,팔/무장시키다
army,군대/육군
child,아이/어린이
arrest,체포하다/체포
arrive,도착하다
article,기사/물품/조항
artist,예술가/화가
logic,논리/타당성
blog,블로그
victory,승리
assess,평가하다
fence,울타리/펜스
noun,명사
poem,시
association,협회/연관성
assume,가정하다/떠맡다
index,색인/지수
journal,잡지/일기
cheese,치즈
initiative,주도권/계획
vision,시력/비전/환상
capable,유능한/할 수 있는
attack,공격/공격하다
attempt,시도/시도하다
attend,참석하다/주의를 기울이다
mobile,이동하는/휴대폰
attention,주의/주목
attract,끌다/매혹하다
efficient,효율적인
over,~너머로/끝난
suitable,적절한/적합한
recognition,인식/인정
luck,운/행운
available,이용 가능한/시간이 있는
average,평균/평균의
avoid,피하다/방지하다
award,상/수여하다
aware,알고 있는
report,보고서/보고하다
participation,참여/참가
survival,생존
baby,아기
background,배경
limitation,제한/한계
opposition,반대/야당
bag,가방/봉투
balance,균형/잔고
ball,공/무도회
expansion,확장/팽창
bank,은행/둑
acquisition,습득/인수
presentation,발표/프레젠테이션
assistance,도움/원조
basic,기본적인/기초
basis,기초/근거
announcement,발표/공지
battle,전투/싸움
creation,창조/창작
beach,해변
bear,곰/참다/품다
beat,이기다/때리다/박자
beautiful,아름다운
registration,등록/기재
development,발달/개발
involvement,관여/참여
bed,침대
legislation,입법/법률
infection,감염/전염병
transportation,교통수단/운송
laughter,웃음
behavior,행동/태도
behind,~뒤에
sanction,제재/허가
entertainment,오락/연예
belong,속하다/제자리에 있다
below,~아래에
venture,벤처/모험
game,게임/경기
work,일하다/작업/직장
benefit,이익/혜택
real,진짜의/현실의
woman,여자/여성
privilege,특권/영광
anxious,불안해하는/열망하는
beyond,~너머에/뛰어넘는
subsequently,그 후에/나중에
breath,숨/호흡
beer,맥주
universe,우주
bill,지폐/청구서/법안
world,세계/세상
membership,회원/멤버십
bird,새
household,가정/가구
virtually,사실상/가상으로
black,검은색/검은
barely,간신히/거의 ~않다
though,비록 ~일지라도
expenditure,지출/비용
block,블록/차단하다
blood,피/혈액
output,생산량/출력
blow,불다/타격
blue,파란색/우울한
board,판/이사회/탑승하다
boat,보트/배
body,몸/신체
quantity,양/수량
excess,초과/과잉
story,이야기/층
man,남자/사람
compromise,타협/절충하다
discount,할인
layer,층/겹
deficit,적자/부족액
rat,쥐
bottom,맨 아래/바닥
country,나라/국가/시골
box,상자
boy,소년/남자아이
brain,뇌/두뇌
slope,경사/비탈
hill,언덕
county,자치주/군
contest,대회/경연
adventure,모험
brief,짧은/간단한
adviser,고문/조언자
bright,밝은/똑똑한
interpretation,해석/통역
wound,상처/부상
broad,넓은/폭넓은
bid,입찰/명령하다
brother,형제
settlement,합의/정착
sequence,순서/연속
budget,예산
creature,생물/피조물
hell,지옥
burn,타다/화상
unlike,~와 달리
neighborhood,이웃/동네
bus,버스
busy,바쁜
shade,그늘/색조
territory,영토/지역
desert,사막/버리다
zone,구역/지대
harbor,항구
province,주
dispute,논쟁
camera,카메라
camp,캠프
approximately,대략
naturally,자연스럽게
cancer,암
even,심지어
what,무엇
league,리그
capacity,용량
capital,수도
along,~을 따라
ago,~전에
card,카드
before,~전에
career,경력
soon,곧
carefully,주의 깊게
always,항상
carry,나르다
young,젊은
cash,현금
whenever,~할 때마다
ever,언제든
originally,원래
meanwhile,그 동안에
catch,잡다
category,범주
during,~동안
then,그러면
cell,세포
initially,처음에
central,중심의
century,세기
now,지금
certain,확실한
chair,의자
nowadays,요즘
challenge,도전
regularly,정기적으로
fascinate,매혹하다
moderate,적당한
chance,기회
out,밖으로
chapter,장
character,성격
charge,요금
tail,꼬리
storm,폭풍
bread,빵
belt,벨트
truly,진실로
cheap,싼
check,확인하다
liquid,액체
framework,틀
firstly,첫째로
aggressive,공격적인
chief,최고의
equivalent,동등한
mature,성숙한
smart,똑똑한
choice,선택
choose,선택하다
prompt,즉각적인
circumstance,상황
keen,예리한
citizen,시민
native,토착의
eastern,동쪽의
claim,주장하다
in,~안에
no,아니
contemporary,현대의
clean,깨끗한
poverty,빈곤
clearly,분명히
genuine,진짜의
climb,오르다
record,기록
clock,시계
vast,방대한
idea,생각
of,~의
club,클럽
coach,코치
historic,역사적인
extraordinary,비범한
corporation,기업
code,암호
coffee,커피
large,큰
cold,추운
hand,손
collect,모으다
collection,수집
college,대학
fiction,소설
combine,결합하다
album,앨범
mystery,신비
comfortable,편안한
commercial,상업적인
commit,저지르다
committee,위원회
common,흔한
uncle,삼촌
communication,의사소통
community,지역사회
house,집
compare,비교하다
comparison,비교
office,사무실
school,학교
competition,경쟁
publisher,출판사
personally,개인적으로
complete,완전한
completely,완전히
complex,복잡한
via,~을 경유하여
widely,널리
beside,~옆에
flexible,유연한
observation,관찰
pleasant,즐거운
controversial,논란의 여지가 있는
fortune,운
effect,효과
computer,컴퓨터
infant,유아
concept,개념
random,무작위의
concert,콘서트
conclude,결론짓다
conclusion,결론
distinct,뚜렷한
conduct,행동하다
confidence,자신감
coat,코트
confirm,확인하다
conflict,갈등
money,돈
information,정보
connect,연결하다
connection,연결
consequence,결과
gray,회색
yellow,노란색
carpet,카펫
first,첫 번째의
consideration,고려
consist,구성되다
western,서부의
airline,항공사
absolute,절대적인
whole,전체의
altogether,완전히
construction,건설
exact,정확한
all,모든
literary,문학의
consumer,소비자
contact,연락하다
contain,포함하다
urban,도시의
royal,왕실의
context,문맥
institutional,제도적인
presumably,아마
contrast,대조
contribution,기여
agricultural,농업의
organic,유기농의
political,정치적인
classical,고전적인
conversation,대화
sexual,성적인
convince,설득하다
cook,요리하다
cool,시원한
public,공공의
abstract,추상적인
copy,복사하다
corporate,기업의
retail,소매
correct,정확한
inner,내부의
mental,정신적인
genetic,유전적인
online,온라인의
council,의회
ethnic,민족의
count,세다
tank,탱크
inflation,인플레이션
temporary,일시적인
couple,부부
court,법원
dialog,대화
cover,덮다
accurate,정확한
free,자유로운
policy,정책
envelope,봉투
roof,지붕
wet,젖은
bloody,피투성이의
offense,범죄
festival,축제
credit,신용
hook,갈고리
crisis,위기
critical,비판적인
destruction,파괴
coal,석탄
cross,건너다
crowd,군중
pot,냄비
cry,울다
culture,문화
cup,컵
profile,옆모습
current,현재의
currently,현재
reliable,믿을 수 있는
architecture,건축
customer,고객
cut,자르다
cycle,주기
although,비록 ~일지라도
daily,매일의
damage,손상
explanation,설명
dance,춤추다
danger,위험
dangerous,위험한
criteria,기준
dark,어두운
filter,필터
data,데이터
unusual,드문
date,날짜
daughter,딸
hard,단단한
dead,죽은
pollution,오염
dear,친애하는
death,죽음
debate,토론
decade,10년
mess,엉망
decision,결정
depth,깊이
decline,감소하다
deep,깊은
height,높이
phase,단계
defense,방어
injure,상처를 입히다
define,정의하다
definitely,틀림없이
definition,정의
degree,정도
deliver,배달하다
delivery,배달
demand,요구
helpful,도움이 되는
universal,보편적인
voluntary,자발적인
violent,폭력적인
deny,부인하다
department,부서
depend,의존하다
immediate,즉각적인
chart,차트
alcohol,알코올
fall,떨어지다
describe,묘사하다
description,묘사
while,~하는 동안
whilst,~하는 동안
design,디자인
sensitive,민감한
desk,책상
despite,~에도 불구하고
visible,보이는
detail,세부 사항
soft,부드러운
apparent,명백한
determine,결정하다
clear,명확한
potato,감자
device,장치
impression,인상
mood,기분
die,죽다
electricity,전기
adequate,적절한
difference,차이
enough,충분한
each,각각의
difficult,어려운
difficulty,어려움
everywhere,어디에나
test,시험
case,경우
dinner,저녁 식사
direct,직접적인
directly,직접적으로
director,감독
good,좋은
stimulate,자극하다
numerous,수많은
distant,먼
silver,은
veteran,베테랑
consultant,컨설턴트
discover,발견하다
reason,이유
discuss,논의하다
discussion,논의
disease,질병
demonstration,시위
extension,연장
further,더 나아가
giant,거대한
display,전시하다
crucial,중대한
distance,거리
remote,원격의
sheep,양
pig,돼지
dad,아빠
district,구역
anxiety,불안
motivation,동기
divide,나누다
tension,긴장
joy,기쁨
document,문서
dog,개
dollar,달러
friendship,우정
door,문
double,두 배의
doubt,의심
hunger,배고픔
concern,우려
grateful,감사하는
ashamed,부끄러운
confident,자신 있는
uncertainty,불확실성
draw,그리다
dream,꿈
dress,드레스
drink,마시다
sad,슬픈
driver,운전자
drop,떨어지다
drug,약
dry,마른
due,~할 예정인
she,그녀
ultimately,궁극적으로
duty,의무
dust,먼지
solid,고체의
steady,꾸준한
earn,벌다
earth,지구
start,시작하다
easily,쉽게
term,용어
shelf,선반
easy,쉬운
eat,먹다
economic,경제의
edge,가장자리
conventional,전통적인
fruit,과일
boot,부츠
education,교육
because,~때문에
forever,영원히
effective,효과적인
per,~당
so,그래서
why,왜
effort,노력
egg,계란
sir,선생님
format,형식
election,선거
lucky,운이 좋은
hence,그러므로
through,~을 통하여
element,요소
across,가로질러
else,다른
since,~이래로
e-mail,이메일
face,얼굴
tennis,테니스
emerge,나타나다
golf,골프
preparation,준비
present,현재의
sale,판매
down,아래로
employ,고용하다
employee,직원
into,~안으로
alright,괜찮은
empty,빈
enable,가능하게 하다
honest,정직한
encourage,격려하다
sand,모래
more,더 많은
energy,에너지
engage,관여하다
tall,키가 큰
enjoy,즐기다
empire,제국
tune,곡조
ensure,보장하다
enter,들어가다
government,정부
jury,배심원단
personnel,직원/종업원/인사과
entire,전체의
bunch,다발
pile,더미
type,유형
environment,환경
environmental,환경의
sort,종류
equal,동일한
constantly,끊임없이
subsequent,그 다음의
equipment,장비
constant,일정한
error,오류
especially,특히
briefly,간단히
essential,필수적인
establish,설립하다
still,여전히
late,늦은
frequent,빈번한
weekly,매주의
evening,저녁
event,사건
eventually,결국
prior,이전의
sudden,갑작스러운
everybody,모두
routine,일상적인
everyone,모든 사람
everything,모든 것
early,일찍
evidence,증거
rapid,빠른
continuous,지속적인
satisfaction,만족
exactly,정확히
shell,껍질
bone,뼈
concrete,구체적인
excellent,훌륭한
except,~을 제외하고
tooth,이
important,중요한
exchange,교환하다
possible,가능한
brilliant,훌륭한
wealthy,부유한
executive,경영진
exercise,운동
employment,고용
exist,존재하다
expand,확장하다
thick,두꺼운
sick,아픈
angry,화난
expensive,비싼
nervous,불안한
experiment,실험
sharp,날카로운
expert,전문가
explain,설명하다
sufficient,충분한
export,수출하다
guilty,유죄의
old,오래된
express,표현하다
expression,표현
fortunate,운이 좋은
already,이미
extent,[측정되는]정도/범위/크기
awareness,인식
extra,여분의
weak,약한
sure,확신하는
extremely,극도로
possession,소유
variable,변수
facility,시설
creative,창조적인
factor,요인
factory,공장
independence,독립
fail,실패하다
failure,실패
fair,공정한
able,할 수 있는
regional,지역의
psychological,심리적인
mayor,시장
familiar,친숙한
tight,꽉 조이는/팽팽한
famous,유명한
fan,팬
upper,위쪽의
top,정상
frequency,빈도
farm,농장
way,방법
fashion,패션
fast,빠른
enormous,거대한
father,아버지
people,사람들
favor,호의
favorite,가장 좋아하는
feature,특징
federal,연방의
fee,요금
notion,개념
female,여성의
hypothesis,가설
same,같은
whether,~인지 아닌지
reflection,반사
field,들판
fight,싸우다
next,다음의
fill,채우다
film,영화
significance,중요성
final,마지막의
finally,마침내
finance,재정
financial,재정적인
issue,문제
fine,좋은
finger,손가락
finish,끝내다
fire,불
firm,단단한
properly,제대로
reasonably,합리적으로
perfectly,완벽하게
fish,물고기
fit,맞다
fix,고치다
stable,안정적인
well,잘
flat,평평한
firmly,단단히
flight,비행
successfully,성공적으로
floor,바닥
flow,흐름
fly,날다
focus,집중하다
hopefully,바라건대
gently,부드럽게
typically,전형적으로
dramatically,극적으로
faithfully,충실하게
foot,발
football,축구
automatically,자동으로
literally,문자 그대로
foreign,외국의
forest,숲
significantly,상당히
forget,잊다
somehow,어떻게든
differently,다르게
effectively,효과적으로
furthermore,게다가
former,이전의
also,또한
equally,똑같이
forward,앞으로
precisely,정확히
roughly,대략
rarely,드물게
surprisingly,놀랍게도
freedom,자유
wherever,어디에나
against,~에 반대하여
southern,남쪽의
abroad,해외로
fresh,신선한
overseas,해외의
friendly,친절한
elsewhere,다른 곳에서
northern,북쪽의
front,앞
partly,부분적으로
there,거기
among,~사이에
full,가득 찬
fully,완전히
fun,재미있는
function,기능
primarily,주로
fund,자금
respectively,각각
funny,웃긴
at,~에
under,~아래에
least,최소의
between,~사이에
how,어떻게
anywhere,어디든
garden,정원
gas,가스
every,모든
gather,모으다
grand,웅장한
comprehensive,포괄적인
instruction,지시
database,데이터베이스
general,일반적인
generate,생성하다
generation,세대
hint,힌트
proof,증거
interior,내부
sake,이익/목적
remarkable,놀라운
attraction,매력
gift,선물
girl,소녀
if,만약
glad,기쁜
intervention,개입
glass,유리
global,세계적인
social,사회의
goal,목표
theoretical,이론적인
gold,금
product,제품
furniture,가구
profession,직업
evaluation,평가
only,오직
maintenance,유지
spare,여분의
grade,등급
piano,피아노
gentle,온화한
experience,경험
wise,현명한
silly,어리석은
grant,승인하다
stupid,어리석은
shore,해안
coast,연안
estate,부동산
big,큰
green,녹색의
wealth,부
ocean,바다
ground,땅
long,긴
cow,소
growth,성장
guarantee,보장하다
guess,추측하다
guest,손님
guide,안내하다
substantial,상당한
considerable,상당한
guy,남자
hair,머리카락
extensive,광범위한
maximum,최대
handle,다루다
permanent,영구적인
after,~후에
happy,행복한
discovery,발견
divorce,이혼
hardly,거의 ~아니다
power,힘
ownership,소유권
hate,싫어하다
secondary,부차적인
pale,창백한
comedy,코미디
health,건강
healthy,건강한
probably,아마도
heart,마음
heat,열
medicine,약
heavy,무거운
menu,메뉴
catalog,목록
small,작은
somewhat,다소
alive,살아있는
around,주위에
knife,칼
herself,그녀 자신
nerve,신경
tube,관
hide,숨기다
valley,계곡
highly,매우
rail,철도
himself,그 자신
mortgage,대출
tender,부드러운
minimum,최소
printer,프린터
hit,치다
golden,황금의
wooden,나무로 된
hole,구멍
holiday,휴일
prime,주요한
implementation,실행
loud,시끄러운
quietly,조용히
reduction,감소
attractive,매력적인
person,사람
horse,말
hospital,병원
hot,뜨거운
multiple,다수의
often,자주
fuel,연료
huge,거대한
human,인간
capability,능력
dimension,차원
surgery,수술
husband,남편
letter,편지
salary,급여
compensation,보상
identify,식별하다
deposit,예금
ignore,무시하다
evil,사악한
increasingly,점점 더
several,몇몇의
mom,엄마
grandmother,할머니
up,위로
immediately,즉시
to,~에게
promotion,승진
very,매우
strict,엄격한
salt,소금
together,함께
importance,중요성
by,~에 의하여
impossible,불가능한
most,가장
vital,필수적인
thirst,갈증
improve,개선하다
improvement,향상
innovation,혁신
close,닫다
anymore,더 이상
silence,침묵
illegal,불법의
nothing,아무것도
unable,할 수 없는
indeed,정말로
unlikely,~할 것 같지 않은
independent,독립적인
crazy,미친
within,~이내에
individual,개인
industry,산업
dirty,더러운
open,열다
rare,드문
influence,영향
inform,알리다
never,결코 ~않다
initial,초기의
unknown,알려지지 않은
nearby,근처의
bad,나쁜
little,작은
innocent,무죄인
light,빛
away,떨어져
low,낮은
inside,내부에
badly,심하게
nowhere,아무데도
confusion,혼란
instance,사례
instead,대신에
institution,기관
lazy,게으른
few,거의 없는
insurance,보험
pure,순수한
different,다른
new,새로운
intend,의도하다
fancy,화려한
false,거짓의
rough,거친
minor,사소한
internal,내부의
international,국제적인
silent,조용한
ordinary,평범한
thin,얇은
interview,면접
loose,느슨한
introduce,소개하다
introduction,소개
occasionally,가끔
invest,투자하다
investigate,조사하다
investigation,조사
investment,투자
ill,아픈
invite,초대하다
one,하나
group,그룹
island,섬
density,밀도
age,나이
item,항목
itself,그 자체
he,그
gradually,점차
join,가입하다
monthly,월간의
weird,이상한
about,~에 대하여
democratic,민주적인
intellectual,지적인
judge,판사
judgment,판단
jump,뛰다
brown,갈색의
qualification,자격
frequently,자주
fat,지방
right,오른쪽
today,오늘
key,열쇠
kid,아이
kill,죽이다
a,하나의
any,어떤
kitchen,부엌
another,또 다른
again,다시
ski,스키
knowledge,지식
labor,노동
planet,행성
lack,부족
land,땅
either,둘 중 하나
once,한 번
largely,주로
kind,친절한
laugh,웃다
almost,거의
launch,시작하다
law,법
lay,놓다
merely,단지
just,그저
liberal,진보적인
leader,지도자
leadership,리더십
electronic,전자의
folk,사람들
civilian,민간인
charity,자선
supplier,공급자
establishment,설립
base,기초
left,왼쪽
leg,다리
legal,합법적인
besides,게다가
forth,앞으로
length,길이
yard,마당
external,외부의
panic,공황
portrait,초상화
pink,분홍색
library,도서관
lie,거짓말하다
lift,들어올리다
segment,부분
share,공유하다
likely,~할 것 같은
limit,제한
portion,부분
link,연결
wing,날개
list,목록
listen,듣다
mind,마음
neck,목
eye,눈
literature,문학
nose,코
tongue,혀
load,짐
module,모듈
location,위치
fragment,파편
emphasis,강조
ideal,이상적인
week,주
gay,게이
immigrant,이민자
loss,손실
hero,영웅
peer,또래
lovely,사랑스러운
employer,고용주
member,회원
substitute,대체하다
you,당신
lunch,점심
student,학생
machine,기계
athlete,운동선수
magazine,잡지
champion,챔피언
main,주요한
mainly,주로
maintain,유지하다
governor,주지사
major,주요한
